variable,n,W,p,decision
length_mm,2175,0.4437676019545156,2.452333317566529e-63,Reject H0
breadth_mm,3179,0.7227918763486743,2.052400890958605e-58,Reject H0
mass_g,1972,0.9319593283308035,4.456237890453297e-29,Reject H0
