variable,n,mean,sd,min,max
length_mm,2175,39.76183908045977,10.103253336770907,5.0,387.0
breadth_mm,3179,62.06196917269582,7.963470566222153,10.0,79.0
mass_g,1972,37.7104462474645,12.433061047273384,0.0,79.0
